experiment_folder,sky_model,dynamic_range,seed,quantization_type,visibilities_fraction,metrics.computation_time_seconds.dirty_image,metrics.computation_time_seconds.psf,metrics.computation_time_seconds.clean_image,metrics.computation_time_seconds.total,metrics.memory_consumption_megabytes.dirty_image,metrics.memory_consumption_megabytes.psf,metrics.memory_consumption_megabytes.clean_image,metrics.memory_consumption_megabytes.total,metrics.image_metrics.cross_correlation,metrics.image_metrics.snr,metrics.image_metrics.psnr,metrics.image_metrics.flux_ratio,metrics.image_metrics.residual_rms,metrics.image_metrics.residual_rms_over_sigma,metrics.image_metrics.achieved_dr,metrics.image_metrics.beam_bmaj_px,metrics.image_metrics.beam_bmin_px,metrics.image_metrics.converged_reason,metrics.image_metrics.n_major_cycles,param.telescope,param.sky_model,param.percentage_visibilities,param.rng_seed,param.data set.uvw.type,param.data set.uvw.size,param.data set.freq.type,param.data set.freq.size,param.data set.vis.type,param.data set.vis.size,param.data set.weights.type,param.data set.weights.size,param.daytime.day,param.daytime.month,param.daytime.year,param.daytime.hour,param.daytime.minute,param.daytime.second,param.quantization.visibilities,param.quantization.dirty_image,param.quantization.psf,param.quantization.clean_model,param.clean_algorithm,param.loop_iterations,param.dirty_image_epsilon,param.clean_image.gamma,param.clean_image.peak_fraction,param.clean_image.max_iterations,param.commentary
gaussian_dr10000_s0__q-all-bf16__vf025,gaussian,10000,0,all-bf16,0.25,11.605690240859985,56.106093883514404,216.51993680000305,284.23172092437744,243.625,788.51171875,320.0703125,1352.20703125,0.8773807268252426,1.774381774928262,32.79958908796951,2.9106679646467835,0.02686701150949538,268.67011509495376,126.5920400432475,92.25058658190231,24.307396593136136,stall,1,meerkat,gaussian,0.25,42,float64,544320,float64,4,bfloat16,725760,bfloat16,725760,8,Aug,2026,10,11,19,bfloat16,bfloat16,bfloat16,bfloat16,hogbom,5,1e-05,0.025,0.0075,10000,gaussian_dr10000_s0__q-all-bf16__vf025 | frozen-deconv q=all-bf16 vf=0.25
gaussian_dr10000_s0__q-all-bf16__vf050,gaussian,10000,0,all-bf16,0.5,12.732941627502441,58.02941632270813,267.9187009334564,338.681058883667,269.25,830.26171875,307.92578125,1407.4375,0.868499220278056,1.4395323008075493,32.53612342979139,2.729479874685223,0.025452850941327352,254.5285094132735,78.79714938685704,89.86922704648559,24.668400834844462,stall,1,meerkat,gaussian,0.5,42,float64,1088640,float64,4,bfloat16,1451520,bfloat16,1451520,8,Aug,2026,10,11,19,bfloat16,bfloat16,bfloat16,bfloat16,hogbom,5,1e-05,0.025,0.0075,10000,gaussian_dr10000_s0__q-all-bf16__vf050 | frozen-deconv q=all-bf16 vf=0.5
gaussian_dr10000_s0__q-all-bf16__vf075,gaussian,10000,0,all-bf16,0.75,13.88399052619934,61.36013174057007,292.4775221347809,367.7216444015503,338.55078125,869.296875,408.96484375,1616.8125,0.863719393468666,1.316184880338468,32.44628388402826,2.7673018625624404,0.024539379025141334,245.39379025141332,79.75474972335127,87.77895934423417,25.043870160226916,stall,1,meerkat,gaussian,0.75,42,float64,1632960,float64,4,bfloat16,2177280,bfloat16,2177280,8,Aug,2026,10,11,19,bfloat16,bfloat16,bfloat16,bfloat16,hogbom,5,1e-05,0.025,0.0075,10000,gaussian_dr10000_s0__q-all-bf16__vf075 | frozen-deconv q=all-bf16 vf=0.75
gaussian_dr10000_s0__q-all-bf16__vf100,gaussian,10000,0,all-bf16,1.0,15.006892204284668,64.35363054275513,322.60946106910706,401.96998381614685,364.1953125,909.6171875,428.00390625,1701.81640625,0.8501757956249651,1.2367979611513276,32.39183337223478,2.1341210596154174,0.023890147975248924,238.90147975248922,119.64513222939158,85.51808012390406,25.410721452529266,stall,1,meerkat,gaussian,1.0,42,float64,2177280,float64,4,bfloat16,2903040,bfloat16,2903040,8,Aug,2026,10,11,19,bfloat16,bfloat16,bfloat16,bfloat16,hogbom,5,1e-05,0.025,0.0075,10000,gaussian_dr10000_s0__q-all-bf16__vf100 | frozen-deconv q=all-bf16 vf=1.0
gaussian_dr10000_s0__q-all-f16__vf025,gaussian,10000,0,all-f16,0.25,13.899343729019165,65.52812385559082,133.32049107551575,212.74795866012573,238.16015625,778.4921875,360.77734375,1377.4296875,,-5.5075634597607114e-11,31.02520731298614,,,,,92.25058658190254,24.307396593136296,zero_residual,1,meerkat,gaussian,0.25,42,float64,544320,float64,4,float16,725760,float16,725760,8,Aug,2026,10,11,19,float16,float16,float16,float16,hogbom,5,1e-05,0.025,0.0075,10000,gaussian_dr10000_s0__q-all-f16__vf025 | frozen-deconv q=all-f16 vf=0.25
gaussian_dr10000_s0__q-all-f16__vf050,gaussian,10000,0,all-f16,0.5,15.344701051712036,66.4751205444336,158.49711203575134,240.31693363189697,259.671875,774.63671875,358.69921875,1393.0078125,,-5.57289664562053e-11,31.096591128928143,,,,,89.86922704648538,24.668400834844313,zero_residual,1,meerkat,gaussian,0.5,42,float64,1088640,float64,4,float16,1451520,float16,1451520,8,Aug,2026,10,11,19,float16,float16,float16,float16,hogbom,5,1e-05,0.025,0.0075,10000,gaussian_dr10000_s0__q-all-f16__vf050 | frozen-deconv q=all-f16 vf=0.5
gaussian_dr10000_s0__q-all-f16__vf075,gaussian,10000,0,all-f16,0.75,16.016700506210327,70.58640837669373,171.73419785499573,258.3373067378998,323.49609375,818.83203125,435.390625,1577.71875,,-5.6174003582025374e-11,31.13009900363356,,,,,87.77895934423442,25.04387016022717,zero_residual,1,meerkat,gaussian,0.75,42,float64,1632960,float64,4,float16,2177280,float16,2177280,8,Aug,2026,10,11,19,float16,float16,float16,float16,hogbom,5,1e-05,0.025,0.0075,10000,gaussian_dr10000_s0__q-all-f16__vf075 | frozen-deconv q=all-f16 vf=0.75
gaussian_dr10000_s0__q-all-f16__vf100,gaussian,10000,0,all-f16,1.0,16.632802963256836,71.20026397705078,188.11753487586975,275.95060181617737,365.109375,848.0234375,445.53125,1658.6640625,,-5.6746814097165476e-11,31.155035411026674,,,,,85.5180801239043,25.410721452529362,zero_residual,1,meerkat,gaussian,1.0,42,float64,2177280,float64,4,float16,2903040,float16,2903040,8,Aug,2026,10,11,19,float16,float16,float16,float16,hogbom,5,1e-05,0.025,0.0075,10000,gaussian_dr10000_s0__q-all-f16__vf100 | frozen-deconv q=all-f16 vf=1.0
gaussian_dr10000_s0__q-all-f32__vf025,gaussian,10000,0,all-f32,0.25,4.720999240875244,27.796024322509766,204.29288053512573,236.80990409851074,243.62109375,788.51171875,320.04296875,1352.17578125,0.8742579265505293,1.745732455844564,32.77093976888581,4.618561629838819,0.026862955967163767,268.62955967163765,125.01807242059762,92.25058658190231,24.307396593136136,stall,1,meerkat,gaussian,0.25,42,float64,544320,float64,4,float32,725760,float32,725760,8,Aug,2026,10,11,19,float32,float32,float32,float32,hogbom,5,1e-05,0.025,0.0075,10000,gaussian_dr10000_s0__q-all-f32__vf025 | frozen-deconv q=all-f32 vf=0.25
gaussian_dr10000_s0__q-all-f32__vf050,gaussian,10000,0,all-f32,0.5,6.038079023361206,29.38401508331299,249.33695602416992,284.7590501308441,269.25,830.25390625,307.87109375,1407.375,0.864955846282669,1.4121091102021541,32.50870023918599,7.242897538060769,0.025329848056282984,253.29848056282984,76.34875497475154,89.86922704648559,24.668400834844462,stall,1,meerkat,gaussian,0.5,42,float64,1088640,float64,4,float32,1451520,float32,1451520,8,Aug,2026,10,11,19,float32,float32,float32,float32,hogbom,5,1e-05,0.025,0.0075,10000,gaussian_dr10000_s0__q-all-f32__vf050 | frozen-deconv q=all-f32 vf=0.5
gaussian_dr10000_s0__q-all-f32__vf075,gaussian,10000,0,all-f32,0.75,6.49601411819458,32.04443597793579,281.97339272499084,320.5138428211212,338.54296875,869.3046875,408.9921875,1616.83984375,0.8585371821966774,1.2856455430090563,32.415744546698846,6.847682962484743,0.024554044886237622,245.5404488623762,76.65767616835242,87.77895934423417,25.043870160226916,stall,1,meerkat,gaussian,0.75,42,float64,1632960,float64,4,float32,2177280,float32,2177280,8,Aug,2026,10,11,19,float32,float32,float32,float32,hogbom,5,1e-05,0.025,0.0075,10000,gaussian_dr10000_s0__q-all-f32__vf075 | frozen-deconv q=all-f32 vf=0.75
